"Shortage reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Shortage status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Anticipated start date","Actual start date","Estimated end date","Actual end date",Reason,"Date Created","Date Updated","Tier 3"
153608,02426277,Shortage,"ATROPINE SULFATE INJECTION","LABORATOIRE AGUETTANT","Atropine Sulfate","ATROPINE SULFATE",1MG,"5 mL pre-filled syringe","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",2022-02-03,2022-02-02,2022-03-27,2022-03-17,"Delay in shipping of the drug.",2022-01-27,2022-03-18,No
161106,02426277,Shortage,"ATROPINE SULFATE INJECTION","LABORATOIRE AGUETTANT","Atropine Sulfate","ATROPINE SULFATE",1MG,"5 mL pre-filled syringe","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",2022-05-24,2022-05-27,2022-06-10,2022-06-08,"Demand increase for the drug.",2022-05-23,2022-06-09,No
43076,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA INC","ATROPINE SULFATE LIFESHIELD","ATROPINE SULFATE",0.1MG,"10 x 10mL","INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2018-05-25,,2018-07-13,"Demand increase for the drug.",2018-03-16,2018-07-16,No
49017,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA INC","ATROPINE SULFATE LIFESHIELD","ATROPINE SULFATE",0.1MG,"10 x 5mL","INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2018-06-06,,2018-07-13,"Demand increase for the drug.",2018-05-10,2018-07-25,No
62377,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA INC","ATROPINE SULFATE INJECTION USP","ATROPINE SULFATE",0.1MG,"10 x 10mL LifeShield","INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2018-11-16,,2019-02-15,"Disruption of the manufacture of the drug.",2018-09-26,2019-02-16,No
63646,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA INC","Atropine Sulfate Injection USP","ATROPINE SULFATE",0.1MG,"10 x 5mL LifeShield","INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2018-12-21,,2020-03-09,"Disruption of the manufacture of the drug.",2018-10-10,2020-03-10,No
86516,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA ULC","Atropine Sulfate Injection USP","ATROPINE SULFATE",0.1MG,"10 x 10mL LifeShield","INTRAMUSCULAR; INTRAVENOUS; SUBCUTANEOUS",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2019-06-11,,2020-03-09,"Disruption of the manufacture of the drug.",2019-06-12,2020-03-10,No
139880,02472171,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA ULC","Atropine Sulfate Injection USP","ATROPINE SULFATE",0.5MG,"10 x 5mL","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2021-08-02,,2021-09-07,"Disruption of the manufacture of the drug.",2021-05-25,2021-09-08,No
158956,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA ULC","ATROPINE SULFATE INJECTION USP","ATROPINE SULFATE",1MG,"10 x 10mL LifeShield syringes","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2022-04-27,2022-08-31,2022-08-10,"Demand increase for the drug.",2022-04-18,2022-08-11,No
159096,00392693,Shortage,"ATROPINE SULFATE INJECTION USP","SANDOZ CANADA INCORPORATED","ATROPINE SO4","ATROPINE SULFATE",.6MG,"1ML 10LIAM","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",2022-04-20,,2022-07-08,2022-07-13,"Demand increase for the drug.",2022-04-21,2022-07-14,No
173235,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA ULC","ATROPINE SULFATE INJECTION USP","ATROPINE SULFATE",1MG,"10 x 10mL LifeShield syringes","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2022-12-14,,2023-02-03,"Disruption of the manufacture of the drug.",2022-11-01,2023-02-04,No
213831,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA ULC","ATROPINE SULFATE INJECTION USP","ATROPINE SULFATE",1MG,"10 x 10mL LifeShield","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2023-11-18,,2024-08-15,"Disruption of the manufacture of the drug.",2023-12-19,2024-08-16,No
241114,00328154,Shortage,"ATROPINE SULFATE INJECTION USP","PFIZER CANADA ULC","ATROPINE SULFATE INJECTION USP","ATROPINE SULFATE",1MG,"10 x 10mL LifeShield","SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAVENOUS; INTRAMUSCULAR",Resolved,SOLUTION,A03BA,"BELLADONNAAND DERIVATIVES, PLAIN",,2024-10-24,,2025-08-18,"Disruption of the manufacture of the drug.",2024-10-25,2025-08-19,No
159348,02416328,Shortage,AUBAGIO,"SANOFI GENZYME, A DIVISION OF SANOFI-AVENTIS CANADA INC","Teriflunomide tablets 14 mg",TERIFLUNOMIDE,14MG,"14 mg","ORAL; ORAL",Resolved,TABLET,L04AA,IMMUNOSUPPRESSANTS,2022-04-28,,2022-05-11,2022-05-03,"Other (Please describe in comments)",2022-04-25,2022-05-04,No
251835,02532174,Shortage,"AUDRINA 21","JAMP PHARMA CORPORATION","Levonorgestrel and Ethinyl Estradiol Tablets","ETHINYL ESTRADIOL; LEVONORGESTREL","20MCG; 100MCG",21,ORAL,Resolved,TABLET,G03AA,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",,2025-03-03,2026-02-06,2026-02-04,"Disruption of the manufacture of the drug.",2025-03-04,2026-02-13,No
251838,02532182,Shortage,"AUDRINA 28","JAMP PHARMA CORPORATION","Levonorgestrel and Ethinyl Estradiol Tablets","ETHINYL ESTRADIOL; LEVONORGESTREL","20MCG; 100MCG",28,ORAL,Resolved,TABLET,G03AA,"HORMONAL CONTRACEPTIVES FOR SYSTEMIC USE",,2025-03-03,2026-02-06,2026-02-04,"Disruption of the manufacture of the drug.",2025-03-04,2026-02-13,No
85734,02332477,Shortage,AURALGAN,"PALADIN LABS INC","Auralgan (Antipyrine/Benzocaine)","ANTIPYRINE; BENZOCAINE","54MG; 14MG",14mL,OTIC,Resolved,SOLUTION,S02DA,"OTHER OTOLOGICALS",,2019-08-19,2020-01-31,2020-01-15,"Disruption of the manufacture of the drug.",2019-06-06,2020-01-16,No
149033,02332477,Shortage,AURALGAN,"PALADIN LABS INC.",BENZOCAINE,"ANTIPYRINE; BENZOCAINE","54MG; 14MG",14mL,"OTIC; OTIC",Resolved,SOLUTION,S02DA,"OTHER OTOLOGICALS",,2021-11-02,2022-08-01,2022-07-25,"Disruption of the manufacture of the drug.",2021-11-10,2022-07-26,No
70316,02454513,Shortage,AURO-ABACAVIR/LAMIVUDINE,"AURO PHARMA INC","abacavir; Lamivudine","ABACAVIR; LAMIVUDINE","600MG; 300MG",30,ORAL,Resolved,TABLET,J05AR,"DIRECT ACTING ANTIVIRALS",,2018-12-20,,2019-03-12,"Delay in shipping of the drug.",2018-12-21,2019-03-13,No
93077,02454513,Shortage,AURO-ABACAVIR/LAMIVUDINE,"AURO PHARMA INC","abacavir; Lamivudine","ABACAVIR; LAMIVUDINE","600MG; 300MG",30,ORAL,Resolved,TABLET,J05AR,"DIRECT ACTING ANTIVIRALS",,2019-09-04,,2020-04-14,"Demand increase for the drug.",2019-09-05,2020-04-15,No
47443,02388545,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC","Alendronic Acid","ALENDRONIC ACID",10MG,100,ORAL,Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2019-09-04,,2020-03-13,"Delay in shipping of the drug.",2018-04-30,2020-03-14,No
47445,02388545,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC",Alendronate,"ALENDRONIC ACID",10MG,100,ORAL,Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",2018-03-30,,2018-05-18,2018-05-31,"Shortage of an active ingredient.",2018-04-30,2018-07-12,No
47452,02388553,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC",Alendronate,"ALENDRONIC ACID",70MG,1x4,ORAL,Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2018-03-30,2018-05-18,2018-05-31,"Shortage of an active ingredient.",2018-04-30,2018-07-12,No
96271,02388553,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC","Alendronic Acid","ALENDRONIC ACID",70MG,1x4,ORAL,Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2019-10-09,,2020-03-30,"Delay in shipping of the drug.",2019-10-11,2020-03-31,No
112862,02388553,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC","Alendronic Acid","ALENDRONIC ACID",70MG,1x4,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2020-04-22,,2020-05-22,"Demand increase for the drug.",2020-04-23,2020-05-23,No
131191,02388545,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC","AURO PHARMA INC","ALENDRONIC ACID",10MG,100,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2021-01-05,2021-03-31,2021-02-04,"Demand increase for the drug.",2021-01-08,2021-02-18,No
131951,02388553,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC",ALENDRONATE,"ALENDRONIC ACID",70MG,1x4's,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2021-01-18,2021-04-30,2021-04-20,"Demand increase for the drug.",2021-01-19,2021-04-30,No
135347,02388545,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC",ALENDRONATE,"ALENDRONIC ACID",10MG,100's,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2021-03-09,2021-04-15,2021-04-09,"Demand increase for the drug.",2021-03-09,2021-04-13,No
166554,02388545,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC","Alendronic Acid","ALENDRONIC ACID",10MG,100,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2022-08-12,2022-10-30,2022-11-03,"Demand increase for the drug.",2022-08-12,2022-11-07,No
223434,02388553,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC",AURO-ALENDRONATE,"ALENDRONIC ACID",70MG,1x4Blst,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2024-03-17,2024-07-31,2024-07-16,"Demand increase for the drug.",2024-03-26,2024-07-17,No
228614,02388545,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC",AURO-ALENDRONATE,"ALENDRONIC ACID",10MG,100's,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2024-05-24,2024-07-03,2024-06-24,"Demand increase for the drug.",2024-05-24,2024-06-25,No
235870,02388545,Shortage,AURO-ALENDRONATE,"AURO PHARMA INC",AURO-ALENDRONATE,"ALENDRONIC ACID",10MG,100's,"ORAL; ORAL",Resolved,TABLET,M05BA,"DRUGS AFFECTING BONE STRUCTURE AND MINERALIZATION",,2024-08-26,2024-10-15,2024-10-15,"Demand increase for the drug.",2024-08-26,2024-10-16,No
211587,02443201,Shortage,AURO-ALFUZOSIN,"AURO PHARMA INC",AURO-ALFUZOSIN,"ALFUZOSIN HYDROCHLORIDE",10MG,100's,"ORAL; ORAL",Resolved,"TABLET (EXTENDED-RELEASE)",G04CA,"DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY",2023-11-27,2023-11-30,2024-07-31,2024-07-16,"Demand increase for the drug.",2023-11-27,2024-07-17,No
241307,02443201,Shortage,AURO-ALFUZOSIN,"AURO PHARMA INC",AURO-ALFUZOSIN,"ALFUZOSIN HYDROCHLORIDE",10MG,100's,"ORAL; ORAL",Resolved,"TABLET (EXTENDED-RELEASE)",G04CA,"DRUGS USED IN BENIGN PROSTATIC HYPERTROPHY",,2024-10-28,2024-11-30,2024-12-02,"Demand increase for the drug.",2024-10-28,2024-12-03,No
135352,02397080,Shortage,AURO-AMLODIPINE,"AURO PHARMA INC",Amlodipine,AMLODIPINE,10MG,250's,"ORAL; ORAL",Resolved,TABLET,C08CA,"SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.",,2021-03-09,2021-06-15,2021-05-21,"Demand increase for the drug.",2021-03-09,2021-06-14,No
136272,02397072,Shortage,AURO-AMLODIPINE,"AURO PHARMA INC",Amlodipine,AMLODIPINE,5MG,100's,"ORAL; ORAL",Resolved,TABLET,C08CA,"SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.",,2021-03-25,2021-05-30,2021-05-10,"Demand increase for the drug.",2021-03-25,2021-06-03,No
136289,02397072,Shortage,AURO-AMLODIPINE,"AURO PHARMA INC",Amlodipine,AMLODIPINE,5MG,250's,"ORAL; ORAL",Resolved,TABLET,C08CA,"SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.",,2021-03-25,2021-05-10,2021-05-10,"Demand increase for the drug.",2021-03-25,2021-05-13,No
136298,02397080,Shortage,AURO-AMLODIPINE,"AURO PHARMA INC",Amlodipine,AMLODIPINE,10MG,250's,"ORAL; ORAL",Resolved,TABLET,C08CA,"SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.",,2021-03-25,2021-06-15,2021-05-21,"Demand increase for the drug.",2021-03-25,2021-06-14,No
199919,02397080,Shortage,AURO-AMLODIPINE,"AURO PHARMA INC",AMLODIPINE,AMLODIPINE,10MG,500,"ORAL; ORAL","Avoided shortage",TABLET,C08CA,"SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.",,2023-07-24,2023-08-31,2023-07-10,"Demand increase for the drug.",2023-07-24,2023-08-29,No
214398,02397072,Shortage,AURO-AMLODIPINE,"AURO PHARMA INC",AURO-AMLODIPINE,AMLODIPINE,5MG,"100's and 500's","ORAL; ORAL",Resolved,TABLET,C08CA,"SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.",2023-12-28,2023-12-28,2024-03-31,2024-02-12,"Demand increase for the drug.",2023-12-28,2024-02-13,No
241310,02397072,Shortage,AURO-AMLODIPINE,"AURO PHARMA INC",AURO-AMLODIPINE,AMLODIPINE,5MG,100's,"ORAL; ORAL",Resolved,TABLET,C08CA,"SELECTIVE CALC.CHANNEL BLOCK. W/MAINLY VASC. EFF.",,2024-10-28,2025-05-30,2025-06-01,"Demand increase for the drug.",2024-10-28,2025-06-03,No
61708,02388073,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC",Amoxicillin,AMOXICILLIN,250MG,"100 & 500",ORAL,Resolved,CAPSULE,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2018-09-17,,2018-10-01,"Delay in shipping of the drug.",2018-09-17,2018-10-02,No
121526,02388073,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC",Amoxicillin,AMOXICILLIN,250MG,"100 & 500","ORAL; ORAL",Resolved,CAPSULE,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2020-07-29,,2020-08-18,"Demand increase for the drug.",2020-07-30,2020-08-19,No
156123,02388081,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC",Amoxicillin,AMOXICILLIN,500MG,"100's & 500's","ORAL; ORAL",Resolved,CAPSULE,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2022-03-04,2022-04-30,2022-04-06,"Demand increase for the drug.",2022-03-04,2022-05-02,No
174147,02458586,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC","AMOXICILLIN (AMOXICILLIN TRIHYDRATE)",AMOXICILLIN,125MG,100ml,ORAL,Resolved,"POWDER FOR SUSPENSION",J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2022-11-09,,2023-11-17,"Demand increase for the drug.",2022-11-09,2024-02-14,No
174151,02458586,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC","AMOXICILLIN TRIHYDRATE",AMOXICILLIN,125MG,"150 mL",ORAL,Resolved,"POWDER FOR SUSPENSION",J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2022-11-09,,2023-11-17,"Demand increase for the drug.",2022-11-09,2024-02-14,No
174154,02458594,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC","AMOXICILLIN TRIHYDRATE",AMOXICILLIN,250MG,"100 mL",ORAL,Resolved,"POWDER FOR SUSPENSION",J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2022-11-09,2023-04-30,2023-04-24,"Demand increase for the drug.",2022-11-09,2024-02-14,No
174157,02458594,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC","AMOXICILLIN TRIHYDRATE",AMOXICILLIN,250MG,"150 mL",ORAL,Resolved,"POWDER FOR SUSPENSION",J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2022-11-09,2023-04-30,2023-04-24,"Demand increase for the drug.",2022-11-09,2024-02-14,No
225529,02388073,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC",AURO-AMOXICILLIN,AMOXICILLIN,250MG,100's,"ORAL; ORAL",Resolved,CAPSULE,J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2024-04-18,2024-05-01,2024-04-29,"Demand increase for the drug.",2024-04-18,2024-04-30,No
261039,02458594,Shortage,AURO-AMOXICILLIN,"AURO PHARMA INC",AURO-AMOXICILLIN,AMOXICILLIN,250MG,"100 ml",ORAL,Resolved,"POWDER FOR SUSPENSION",J01CA,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2025-06-24,,2025-07-24,"Demand increase for the drug.",2025-06-24,2025-07-25,No
199557,02471698,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 500MG",100's,ORAL,Resolved,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2023-07-21,2024-03-15,2024-03-04,"Demand increase for the drug.",2023-07-21,2024-03-05,No
199922,02471671,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 250MG",100,ORAL,Resolved,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2023-07-24,,2024-01-01,"Demand increase for the drug.",2023-07-24,2024-02-02,No
199925,02471701,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 875MG",100,ORAL,"Avoided shortage",TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2023-07-24,2023-08-31,2023-06-15,"Demand increase for the drug.",2023-07-24,2023-08-29,No
203286,02471701,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 875MG",100s,ORAL,Resolved,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2023-08-29,2023-11-15,2023-11-10,"Demand increase for the drug.",2023-08-29,2023-11-11,No
225533,02471701,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AURO-AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 875MG",100's,ORAL,"Avoided shortage",TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2024-04-18,2024-07-31,2024-01-29,"Demand increase for the drug.",2024-04-18,2024-07-29,No
239851,02471698,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AURO-AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 500MG",100's,ORAL,Resolved,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2024-10-11,2025-02-19,2025-02-18,"Demand increase for the drug.",2024-10-11,2025-02-19,No
241129,02471701,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AURO-AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 875MG",100's,ORAL,Resolved,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2024-10-25,2024-12-15,2024-12-16,"Demand increase for the drug.",2024-10-25,2024-12-17,No
242926,02471698,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",AURO-AMOXICLAV,"CLAVULANIC ACID; AMOXICILLIN","125MG; 500MG",100,ORAL,Resolved,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2024-11-14,2025-02-19,2025-02-18,"Demand increase for the drug.",2024-11-14,2025-02-19,No
242987,02471671,Shortage,AURO-AMOXICLAV,"AURO PHARMA INC",Auro-Amoxiclav,"CLAVULANIC ACID; AMOXICILLIN","125MG; 250MG",100,ORAL,Resolved,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",,2024-11-14,2025-02-19,2025-02-18,"Demand increase for the drug.",2024-11-14,2025-02-19,No
230377,02486814,Shortage,AURO-APIXABAN,"AURO PHARMA INC",AURO-APIXABAN,APIXABAN,5MG,"60 Blst",ORAL,Resolved,TABLET,B01AF,"ANTITHROMBOTIC AGENTS",,2024-06-13,2024-12-31,2025-01-01,"Demand increase for the drug.",2024-06-13,2025-01-03,No
230380,02486806,Shortage,AURO-APIXABAN,"AURO PHARMA INC",AURO-APIXABAN,APIXABAN,2.5MG,"60 's and 500's",ORAL,Resolved,TABLET,B01AF,"ANTITHROMBOTIC AGENTS",,2024-06-13,2024-09-30,2024-09-27,"Demand increase for the drug.",2024-06-13,2024-09-28,No
241313,02486806,Shortage,AURO-APIXABAN,"AURO PHARMA INC",AURO-APIXABAN,APIXABAN,2.5MG,500's,ORAL,Resolved,TABLET,B01AF,"ANTITHROMBOTIC AGENTS",,2024-10-28,2024-12-30,2025-01-01,"Demand increase for the drug.",2024-10-28,2025-01-03,No
230383,02524104,Shortage,AURO-APREMILAST,"AURO PHARMA INC",AURO-APREMILAST,APREMILAST,30MG,"56s Blst",ORAL,Resolved,TABLET,L04AA,IMMUNOSUPPRESSANTS,,2024-06-13,2024-08-30,2024-08-28,"Demand increase for the drug.",2024-06-13,2024-08-29,No
75693,02460025,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,2MG,"30 & 100",ORAL,Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2019-02-12,,2019-02-27,"Demand increase for the drug.",2019-02-13,2019-02-28,No
112865,02460068,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,15MG,"30 & 100","ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-04-22,,2020-08-18,"Demand increase for the drug.",2020-04-23,2020-08-19,No
118356,02460076,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,20MG,"30 & 100","ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-06-18,,2020-07-03,"Demand increase for the drug.",2020-06-19,2020-07-06,No
121529,02460041,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,10MG,"30 & 100","ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-07-29,,2020-08-18,"Demand increase for the drug.",2020-07-30,2020-08-19,No
121532,02460076,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,20MG,"30 & 100","ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-07-29,,2020-08-18,"Demand increase for the drug.",2020-07-30,2020-08-19,No
121535,02460084,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,30MG,"30 & 100","ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-07-29,,2020-08-18,"Demand increase for the drug.",2020-07-30,2020-08-19,No
125203,02460076,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,20MG,"30 & 100","ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-09-25,2020-11-13,2020-11-05,"Demand increase for the drug.",2020-09-28,2020-11-24,No
126337,02460084,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,30MG,30's,"ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-10-09,,2020-10-22,"Demand increase for the drug.",2020-10-14,2020-10-26,No
126362,02460041,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,10MG,100s,"ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2020-10-09,,2020-10-22,"Demand increase for the drug.",2020-10-14,2020-10-26,No
131239,02460076,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,20MG,100s,"ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2021-01-05,2021-02-01,2021-01-21,"Demand increase for the drug.",2021-01-09,2021-02-03,No
131242,02460025,Shortage,AURO-ARIPIPRAZOLE,"AURO PHARMA INC",Aripiprazole,ARIPIPRAZOLE,2MG,100s,"ORAL; ORAL",Resolved,TABLET,N05AX,ANTIPSYCHOTICS,,2021-01-05,2021-02-28,2021-02-18,"Demand increase for the drug.",2021-01-09,2021-02-19,No
