"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
276401,02231590,Discontinuation,ABELCET,"LEADIANT BIOSCIENCES, INC","Amphotericin B Lipid Complex Injection","AMPHOTERICIN B",5MG,"20mL vial","INTRAVENOUS; INTRAVENOUS",Discontinued,SUSPENSION,J02AA,"ANTIMYCOTICS FOR SYSTEMIC USE",2025-07-25,,"Business reasons",2026-01-21,2026-01-21,No
129984,02322374,Discontinuation,ABILIFY,"OTSUKA PHARMACEUTICAL CO LTD",ARIPIPRAZOLE,ARIPIPRAZOLE,2MG,"BLISTER format only","ORAL; ORAL",Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2021-02-28,2021-02-28,"Business reasons",2020-12-10,2021-03-01,No
129986,02322382,Discontinuation,ABILIFY,"OTSUKA PHARMACEUTICAL CO LTD",ARIPIPRAZOLE,ARIPIPRAZOLE,5MG,"BLISTER format only","ORAL; ORAL",Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2021-04-30,2021-04-30,"Business reasons",2020-12-10,2021-05-01,No
129991,02322390,Discontinuation,ABILIFY,"OTSUKA PHARMACEUTICAL CO LTD",ARIPIPRAZOLE,ARIPIPRAZOLE,10MG,"BLISTER format only","ORAL; ORAL",Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2021-04-30,2021-04-30,"Business reasons",2020-12-10,2021-05-01,No
129994,02322404,Discontinuation,ABILIFY,"OTSUKA PHARMACEUTICAL CO LTD",ARIPIPRAZOLE,ARIPIPRAZOLE,15MG,"BLISTER format only","ORAL; ORAL",Discontinued,TABLET,N05AX,ANTIPSYCHOTICS,2021-04-30,2021-04-30,"Business reasons",2020-12-10,2021-05-01,No
56578,02364174,Discontinuation,ABSTRAL,"PALADIN LABS INC",FENTANYL,FENTANYL,100MCG,"10 Tabs",SUBLINGUAL,Discontinued,TABLET,N02AB,OPIOIDS,2018-07-24,2018-07-24,"Business reasons",2018-07-26,2018-07-26,No
56638,02364182,Discontinuation,ABSTRAL,"PALADIN LABS INC",FENTANYL,FENTANYL,200MCG,"10 Tabs",SUBLINGUAL,Discontinued,TABLET,N02AB,OPIOIDS,2018-07-24,2018-07-24,"Business reasons",2018-07-26,2018-07-26,No
56643,02364190,Discontinuation,ABSTRAL,"PALADIN LABS INC",FENTANYL,FENTANYL,300MCG,"10 TABS",SUBLINGUAL,Discontinued,TABLET,N02AB,OPIOIDS,2018-07-24,2018-07-24,"Business reasons",2018-07-26,2018-07-26,No
56646,02364204,Discontinuation,ABSTRAL,"PALADIN LABS INC",FENTANYL,FENTANYL,400MCG,"10 TABS",SUBLINGUAL,Discontinued,TABLET,N02AB,OPIOIDS,2018-07-24,2018-07-24,"Business reasons",2018-07-26,2018-07-26,No
56649,02364212,Discontinuation,ABSTRAL,"PALADIN LABS INC",FENTANYL,FENTANYL,600MCG,"10 TABS",SUBLINGUAL,Discontinued,TABLET,N02AB,OPIOIDS,2018-07-24,2018-07-24,"Business reasons",2018-07-26,2018-07-26,No
