"Discontinuation reports","DISCLAIMER: The information found within this file is presented in the language in which it was written and submitted."
"Report ID","Drug Identification Number","Report Type","Brand name","Company Name","Common or Proper name",Ingredients,Strength(s),"Packaging size","Route of administration","Discontinuation status","Dosage form(s)","Anatomical Therapeutical Chemical (ATC) Code","Anatomical Therapeutical Chemical (ATC) description","Discontinuation date","Anticipated discontinuation date",Reason,"Date Created","Date Updated","Tier 3"
32228,02155958,Discontinuation,CIPRO,"BAYER INC",Ciprofloxacin,CIPROFLOXACIN,250MG,100,ORAL,Discontinued,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",2018-08-09,2018-08-15,"Business reasons",2017-12-08,2018-10-03,No
32233,02155974,Discontinuation,CIPRO,"BAYER INC",Ciprofloxacin,CIPROFLOXACIN,750MG,100,ORAL,Discontinued,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",2018-12-10,,"Business reasons",2017-12-08,2019-01-18,No
96049,02155966,Discontinuation,CIPRO,"BAYER INC",CIPROFLOXACIN,CIPROFLOXACIN,500MG,100's,ORAL,Discontinued,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",2020-04-28,2020-04-30,"Business reasons",2019-10-10,2020-04-30,No
286549,02237514,Discontinuation,"CIPRO ORAL SUSPENSION","BAYER INC","CIPROFLOXACIN ORAL SUSPENSION",CIPROFLOXACIN,500MG,"100 ML","ORAL; ORAL","To be discontinued",SUSPENSION,J01MA,"QUINOLONE ANTIBACTERIALS",,2026-12-05,"Business reasons",2026-06-05,2026-06-05,No
153198,02247916,Discontinuation,"CIPRO XL","BAYER INC",CIPROFLOXACIN,CIPROFLOXACIN,500MG,50'S,"ORAL; ORAL",Discontinued,"TABLET (IMMEDIATE AND EXTENDED RELEASE); TABLET (EXTENDED-RELEASE)",J01MA,"QUINOLONE ANTIBACTERIALS",2022-03-01,2022-01-31,"Business reasons",2022-01-20,2022-03-02,No
153201,02251787,Discontinuation,"CIPRO XL","BAYER INC",CIPROFLOXACIN,CIPROFLOXACIN,1000MG,50's,"ORAL; ORAL",Discontinued,"TABLET (IMMEDIATE AND EXTENDED RELEASE); TABLET (EXTENDED-RELEASE)",J01MA,"QUINOLONE ANTIBACTERIALS",2022-03-01,2022-01-31,"Business reasons",2022-01-20,2022-03-02,No
4924,02353334,Discontinuation,CIPROFLOXACIN,"SANIS HEALTH INC","CIPROFLOXACIN TABS",CIPROFLOXACIN,750MG,50,ORAL,Discontinued,TABLET,J01MA,"QUINOLONE ANTIBACTERIALS",2014-08-06,,"Business reasons",2017-03-31,2017-03-31,No
120710,02301296,Discontinuation,"CIPROFLOXACIN INJECTION","BAXTER CORPORATION","CIPROFLOXACIN INJECTION",CIPROFLOXACIN,2MG,"100mL & 200mL",INTRAVENOUS,Discontinued,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",2020-07-31,2020-07-31,"Raw material availability",2020-07-21,2020-08-17,No
170299,02301903,Discontinuation,"CIPROFLOXACIN INJECTION USP","PFIZER CANADA ULC","CIPROFLOXACIN INJECTION USP",CIPROFLOXACIN,2MG,"24 x 200mL bag","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",2022-09-27,,"Business reasons",2022-09-27,2022-09-28,No
170302,02301903,Discontinuation,"CIPROFLOXACIN INJECTION USP","PFIZER CANADA ULC","CIPROFLOXACIN INJECTION USP",CIPROFLOXACIN,2MG,"24 x 100mL bag","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,J01MA,"QUINOLONE ANTIBACTERIALS",2022-09-30,,"Business reasons",2022-09-27,2022-10-01,No
79693,02425718,Discontinuation,"CISATRACURIUM BESYLATE INJECTION","PFIZER CANADA ULC","Cisatracurium Besylate Injection",CISATRACURIUM,2MG,"10 x 10mL",INTRAVENOUS,Discontinued,SOLUTION,M03AC,"MUSCLE RELAXANTS, PERIPHERALLY ACTING AGENTS",2019-03-25,,"Business reasons",2019-03-28,2019-03-28,No
3103,02225093,Discontinuation,"CLAFORAN - PWS INJ 1.0G/VIAL","SANOFI-AVENTIS CANADA INC","CLAFORAN 1G  X 10 VIALS","CEFOTAXIME SODIUM",1G,"10 VIALS","INTRAMUSCULAR; INTRAVENOUS",Discontinued,"POWDER FOR SOLUTION",J01DD,"OTHER BETA-LACTAM ANTIBACTERIALS",2017-05-01,2017-04-30,"Business reasons",2017-03-16,2017-05-02,No
3685,02225107,Discontinuation,"CLAFORAN - PWS INJ 2.0G/VIAL","SANOFI-AVENTIS CANADA INC","CLAFORAN 2G X 10 VIALS","CEFOTAXIME SODIUM",2G,"10 VIALS","INTRAMUSCULAR; INTRAVENOUS",Discontinued,"POWDER FOR SOLUTION",J01DD,"OTHER BETA-LACTAM ANTIBACTERIALS",2017-04-04,2017-03-31,"Business reasons",2017-03-20,2017-04-05,No
218240,01916858,Discontinuation,"CLAVULIN 500 F TAB","GLAXOSMITHKLINE INC","amoxicillin / clavulanate potassium tablets","CLAVULANIC ACID; AMOXICILLIN","125MG; 500MG","All pack sizes / Tous les formats","ORAL; ORAL",Discontinued,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",2024-01-31,,"Business reasons",2024-02-02,2024-02-02,No
216509,02238829,Discontinuation,"CLAVULIN 875","GLAXOSMITHKLINE INC","amoxicillin / clavulanate potassium tablets","CLAVULANIC ACID; AMOXICILLIN","125MG; 875MG","All pack sizes / Tous les formats","ORAL; ORAL",Discontinued,TABLET,J01CR,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",2024-01-13,,"Business reasons",2024-01-18,2024-01-18,No
28297,02231510,Discontinuation,"CLIMARA 100","BAYER INC","Estradiol - 17B",ESTRADIOL,7.6MG,4's,TRANSDERMAL,Discontinued,PATCH,G03CA,ESTROGENS,2018-07-26,2018-07-31,"Business reasons",2017-11-06,2018-08-14,No
28316,02250616,Discontinuation,"CLIMARA PRO","BAYER INC","estradiol-17 beta and levonorgestrel transdermal system","ESTRADIOL; LEVONORGESTREL","4.40MG; 1.39MG",4's,TRANSDERMAL,Discontinued,PATCH,G03FA,"PROGESTOGENS AND ESTROGENS IN COMBINATION",2017-11-30,2017-12-08,"Business reasons",2017-11-06,2018-01-10,No
4950,02400529,Discontinuation,CLINDAMYCIN,"SANIS HEALTH INC","CLINDAMYCIN CAPS",CLINDAMYCIN,150MG,100,ORAL,Reversed,CAPSULE,J01FF,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",2013-05-14,,"Business reasons",2017-03-31,2017-07-31,No
4956,02400537,Discontinuation,CLINDAMYCIN,"SANIS HEALTH INC","CLINDAMYCIN CAPS",CLINDAMYCIN,300MG,100,ORAL,Reversed,CAPSULE,J01FF,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",2013-05-14,,"Business reasons",2017-03-31,2017-07-31,No
107379,02400529,Discontinuation,CLINDAMYCIN,"SANIS HEALTH INC",CLINDAMYCIN,,,100,,Discontinued,,,,2018-03-23,,"Business reasons",2020-02-27,2020-02-27,No
107383,02400537,Discontinuation,CLINDAMYCIN,"SANIS HEALTH INC",CLINDAMYCIN,,,100,,Discontinued,,,,2018-03-28,,"Business reasons",2020-02-27,2020-02-27,No
183710,02485451,Discontinuation,"CLINDAMYCIN INJECTION IN 5% DEXTROSE","BAXTER CORPORATION","CLINDAMYCIN INJECTION IN 5% DEXTROSE (300mg/50mL)",CLINDAMYCIN,300MG,50ml,"INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,J01FF,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",2023-04-01,2023-04-01,"Business reasons",2023-02-06,2023-04-02,No
12122,02230535,Discontinuation,"CLINDAMYCIN INJECTION USP","SANDOZ CANADA INCORPORATED",CLINDAMYCIN,CLINDAMYCIN,150MG,"120ML VIAL",INTRAVENOUS,Discontinued,LIQUID,J01FF,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",2017-08-01,2017-08-01,"Business reasons",2017-06-06,2017-10-18,No
108500,02248525,Discontinuation,CLINDAMYCINE-150,"PRO DOC LIMITEE",CLINDAMYCINE,CLINDAMYCIN,150MG,100,ORAL,Discontinued,CAPSULE,J01FF,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",2020-03-11,,"Business reasons",2020-03-11,2020-03-12,No
108492,02248526,Discontinuation,CLINDAMYCINE-300,"PRO DOC LIMITEE",CLINDAMYCINE,CLINDAMYCIN,300MG,100,ORAL,Discontinued,CAPSULE,J01FF,"MACROLIDES, LINCOSAMIDES AND STREPTOGRAMINS",2020-03-11,,"Business reasons",2020-03-11,2020-03-12,No
22562,02243050,Discontinuation,CLINDETS,"GLAXOSMITHKLINE INC","Clindamycin phosphate solution in pledget",CLINDAMYCIN,1%,"All pack sizes / Tous les formats",TOPICAL,Discontinued,PAD,D10AF,"ANTI-ACNE PREPARATIONS FOR TOPICAL USE",2017-09-14,,"Business reasons",2017-09-19,2017-09-19,No
270515,02243158,Discontinuation,"CLINDOXYL GEL","GLAXOSMITHKLINE INC","clindamycin and benzoyl peroxide gel","BENZOYL PEROXIDE; CLINDAMYCIN","5%; 1%","All pack sizes / Tous les formats","TOPICAL; TOPICAL",Discontinued,GEL,D10AF,"ANTI-ACNE PREPARATIONS FOR TOPICAL USE",2025-11-12,,"Business reasons",2025-10-29,2025-11-14,No
118601,02142279,Discontinuation,CLINIMIX,"BAXTER CORPORATION",CLINIMIX,"HISTIDINE; L-THREONINE; TRYPTOPHAN; L-ALANINE; L-ARGININE; L-PROLINE; SERINE; GLYCINE; L-TYROSINE; DEXTROSE; L-LEUCINE; L-PHENYLALANINE; LYSINE; METHIONINE; L-ISOLEUCINE; L-VALINE","240MG; 210MG; 90MG; 1.04G; 575MG; 340MG; 250MG; 515MG; 20MG; 10G; 365MG; 280MG; 290MG; 200MG; 300MG; 290MG","2000mL (JJ7766P)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BA,"I.V. SOLUTIONS",2022-04-19,2022-04-19,"Business reasons",2020-06-22,2022-04-20,No
118612,02142260,Discontinuation,CLINIMIX,"BAXTER CORPORATION",CLINIMIX,"METHIONINE; L-ISOLEUCINE; L-VALINE; HISTIDINE; L-THREONINE; TRYPTOPHAN; L-ALANINE; L-ARGININE; L-PROLINE; SERINE; GLYCINE; L-TYROSINE; DEXTROSE; L-LEUCINE; L-PHENYLALANINE; LYSINE","200MG; 300MG; 290MG; 240MG; 210MG; 90MG; 1.04G; 575MG; 340MG; 250MG; 515MG; 20MG; 16.6G; 365MG; 280MG; 290MG","2000mL (JJ7770)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BA,"I.V. SOLUTIONS",2022-12-07,2022-10-15,"Business reasons",2020-06-22,2022-12-08,No
254830,02013886,Discontinuation,CLINIMIX,"BAXTER CORPORATION","5% Amino Acids (Blend B) without Electrolytes in 5% Dextrose Injection","L-ARGININE; GLYCINE; L-ALANINE; METHIONINE; L-LYSINE HYDROCHLORIDE; L-PHENYLALANINE HYDROCHLORIDE; L-LEUCINE HYDROCHLORIDE; DEXTROSE; L-ISOLEUCINE; L-TYROSINE; L-PROLINE; TRYPTOPHAN; L-THREONINE; HISTIDINE; L-VALINE","520MG; 1.04G; 1.04G; 290MG; 290MG; 310MG; 310MG; 5G; 240MG; 20MG; 210MG; 90MG; 210MG; 220MG; 230MG","1000 mL","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BA,"I.V. SOLUTIONS",2025-08-01,2025-07-31,"Business reasons",2025-04-10,2025-08-19,No
118604,02014068,Discontinuation,"CLINIMIX E","BAXTER CORPORATION","CLINIMIX E","TRYPTOPHAN; L-PROLINE; L-TYROSINE; POTASSIUM PHOSPHATE DIBASIC; SODIUM CHLORIDE; MAGNESIUM CHLORIDE; SODIUM ACETATE; DEXTROSE; L-LEUCINE HYDROCHLORIDE; L-PHENYLALANINE HYDROCHLORIDE; L-LYSINE HYDROCHLORIDE; METHIONINE; L-ALANINE; GLYCINE; L-ARGININE; L-ISOLEUCINE; L-VALINE; HISTIDINE; L-THREONINE","90MG; 210MG; 20MG; 261MG; 58.5MG; 24MG; 205MG; 20G; 310MG; 310MG; 290MG; 290MG; 1.04G; 1.04G; 520MG; 240MG; 230MG; 220MG; 210MG","1000mL (JB6763)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BA,"I.V. SOLUTIONS",2021-03-25,2021-04-16,"Business reasons",2020-06-22,2021-03-26,No
118607,02142376,Discontinuation,"CLINIMIX E","BAXTER CORPORATION","CLINIMIX E","SODIUM ACETATE; POTASSIUM PHOSPHATE DIBASIC; SODIUM CHLORIDE; MAGNESIUM CHLORIDE; DEXTROSE; L-LEUCINE; L-PHENYLALANINE; LYSINE; METHIONINE; L-ISOLEUCINE; L-VALINE; HISTIDINE; L-THREONINE; TRYPTOPHAN; L-ALANINE; L-ARGININE; L-PROLINE; SERINE; GLYCINE; L-TYROSINE","205MG; 261MG; 58.5MG; 24MG; 16.6G; 365MG; 280MG; 290MG; 200MG; 300MG; 290MG; 240MG; 210MG; 90MG; 1.04G; 575MG; 340MG; 250MG; 515MG; 20MG","2000mL (JJ7771)","INTRAVENOUS; INTRAVENOUS",Discontinued,SOLUTION,B05BA,"I.V. SOLUTIONS",2022-06-29,2022-06-29,"Business reasons",2020-06-22,2022-06-30,No
5289,02344327,Discontinuation,"CLINOLEIC 20%","BAXTER CORPORATION","Refined Olive Oil and Refined Soybean Oil Lipid Emulsion","SOYBEAN OIL; OLIVE OIL","4%; 16%",1000mL,INTRAVENOUS,Discontinued,EMULSION,B05BA,"I.V. SOLUTIONS",2017-12-31,2017-12-31,"Business reasons",2017-04-04,2018-01-01,No
9481,02248454,Discontinuation,CLOBAZAM-10,"PRO DOC LIMITEE",CLOBAZAM,CLOBAZAM,10MG,30,ORAL,Discontinued,TABLET,N05BA,ANXIOLYTICS,2017-05-05,,"Business reasons",2017-05-08,2017-05-08,No
291655,02299739,Discontinuation,"CLOBEX SPRAY","GALDERMA CANADA INC.","CLOBETASOL PROPIONATE","CLOBETASOL PROPIONATE",0.05%,"59 mL (50 g)  bottle","TOPICAL; TOPICAL","To be discontinued",SPRAY,D07AD,"CORTICOSTEROIDS, PLAIN",,2026-11-30,"Business reasons",2026-08-18,2026-08-18,No
3917,02091879,Discontinuation,CLOMID,"SANOFI-AVENTIS CANADA INC","CLOMID 50MG TABLETS","CLOMIPHENE CITRATE",50MG,50,ORAL,Discontinued,TABLET,G03GB,"GONADOTROPHINS AND OTHER OVULATION STIMULANTS",2015-11-25,,"Business reasons",2017-03-22,2017-03-22,No
28145,02442027,Discontinuation,CLONAZEPAM,"SIVEM PHARMACEUTICALS ULC",CLONAZEPAM,CLONAZEPAM,0.25MG,100,ORAL,Discontinued,TABLET,N03AE,ANTIEPILEPTICS,2017-11-01,,"Business reasons",2017-11-06,2017-11-06,No
28148,02442035,Discontinuation,CLONAZEPAM,"SIVEM PHARMACEUTICALS ULC",CLONAZEPAM,CLONAZEPAM,0.5MG,100,ORAL,Discontinued,TABLET,N03AE,ANTIEPILEPTICS,2017-11-01,,"Business reasons",2017-11-06,2017-11-06,No
28151,02442035,Discontinuation,CLONAZEPAM,"SIVEM PHARMACEUTICALS ULC",CLONAZEPAM,CLONAZEPAM,0.5MG,500,ORAL,Discontinued,TABLET,N03AE,ANTIEPILEPTICS,2017-11-01,,"Business reasons",2017-11-06,2017-11-06,No
28154,02442043,Discontinuation,CLONAZEPAM,"SIVEM PHARMACEUTICALS ULC",CLONAZEPAM,CLONAZEPAM,1MG,100,ORAL,Discontinued,TABLET,N03AE,ANTIEPILEPTICS,2017-11-01,,"Business reasons",2017-11-06,2017-11-06,No
28157,02442043,Discontinuation,CLONAZEPAM,"SIVEM PHARMACEUTICALS ULC",CLONAZEPAM,CLONAZEPAM,1MG,500,ORAL,Discontinued,TABLET,N03AE,ANTIEPILEPTICS,2017-11-01,,"Business reasons",2017-11-06,2017-12-12,No
28160,02442051,Discontinuation,CLONAZEPAM,"SIVEM PHARMACEUTICALS ULC",CLONAZEPAM,CLONAZEPAM,2MG,100,ORAL,Discontinued,TABLET,N03AE,ANTIEPILEPTICS,2017-11-01,,"Business reasons",2017-11-06,2017-11-06,No
28163,02442051,Discontinuation,CLONAZEPAM,"SIVEM PHARMACEUTICALS ULC",CLONAZEPAM,CLONAZEPAM,2MG,500,ORAL,Discontinued,TABLET,N03AE,ANTIEPILEPTICS,2017-11-01,,"Business reasons",2017-11-06,2017-12-12,No
279406,00812382,Discontinuation,"CLOTRIMADERM TOPICAL","TARO PHARMACEUTICALS INC",CLOTRIMAZOLE,CLOTRIMAZOLE,1%,20G,"TOPICAL; TOPICAL",Discontinued,CREAM,D01AC,"ANTIFUNGALS FOR TOPICAL USE",2026-02-20,,"Business reasons",2026-03-02,2026-03-02,No
14014,01912429,Discontinuation,"CLOXACILLIN SODIUM FOR INJECTION","TEVA CANADA LIMITED",CLOXACILLIN,"CLOXACILLIN SODIUM",500MG,500MG,"INTRAMUSCULAR; INTRAVENOUS",Discontinued,"POWDER FOR SOLUTION",J01CF,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",2017-03-03,,"Business reasons",2017-06-27,2017-06-27,No
14018,01975447,Discontinuation,"CLOXACILLIN SODIUM FOR INJECTION","TEVA CANADA LIMITED",CLOXACILLIN,"CLOXACILLIN SODIUM",1G,10,INTRAVENOUS,Discontinued,"POWDER FOR SOLUTION",J01CF,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",2017-03-03,,"Business reasons",2017-06-27,2017-06-27,No
14021,01912410,Discontinuation,"CLOXACILLIN SODIUM FOR INJECTION","TEVA CANADA LIMITED",CLOXACILLIN,"CLOXACILLIN SODIUM",2G,10,"INTRAMUSCULAR; INTRAVENOUS",Discontinued,"POWDER FOR SOLUTION",J01CF,"BETA-LACTAM ANTIBACTERIALS, PENICILLINS",2017-03-03,,"Business reasons",2017-06-27,2017-06-27,No
52332,00068594,Discontinuation,COACTIFED,"GLAXOSMITHKLINE INC","Triprolidine hydrochloride / pseudoephedrine hydrocholride / codeine phosphate syrup","PSEUDOEPHEDRINE HYDROCHLORIDE; TRIPROLIDINE HYDROCHLORIDE; CODEINE PHOSPHATE","30MG; 2MG; 10MG","All pack sizes / Tous les formats",ORAL,Discontinued,SYRUP,R05DA,"COUGH SUPPRESSANTS EXCL. COMB. WITH EXPECTORANTS",2018-05-28,,"Business reasons",2018-06-13,2018-06-13,No
71083,02377683,Discontinuation,"COATED DAILY LOW DOSE ASA 81 MG","APOTEX INC","ASA TAB 81MG","ACETYLSALICYLIC ACID",81MG,"120 BTL & 180 BTL",ORAL,Discontinued,"TABLET (DELAYED-RELEASE)",B01AC,"ANTITHROMBOTIC AGENTS",2019-01-03,,"Business reasons",2019-01-03,2019-01-04,No
141736,02009889,Discontinuation,"CODEINE 15","LABORATOIRE RIVA INC.","Codeine 15mg 100comp.","CODEINE PHOSPHATE",15MG,100,"ORAL; ORAL",Discontinued,TABLET,R05DA,"COUGH SUPPRESSANTS EXCL. COMB. WITH EXPECTORANTS",2021-07-01,2021-07-01,"Business reasons",2021-07-01,2021-07-02,No
262503,02009757,Discontinuation,"CODEINE 30","LABORATOIRE RIVA INC.","Codeine 30mg 100comp.","CODEINE PHOSPHATE",30MG,100,"ORAL; ORAL","To be discontinued",TABLET,R05DA,"COUGH SUPPRESSANTS EXCL. COMB. WITH EXPECTORANTS",,2026-02-01,"Business reasons",2025-07-10,2025-07-10,No
159064,00544884,Discontinuation,"CODEINE PHOSPHATE INJECTION USP","SANDOZ CANADA INCORPORATED","CODEINE PHOSPHATE","CODEINE PHOSPHATE",30MG,"1ML 10LIAM","SUBCUTANEOUS; INTRAMUSCULAR; SUBCUTANEOUS; INTRAMUSCULAR",Discontinued,LIQUID,R05DA,"COUGH SUPPRESSANTS EXCL. COMB. WITH EXPECTORANTS",2022-04-20,,"Business reasons",2022-04-21,2022-04-20,No
95150,02132699,Discontinuation,"COLESTID ORANGE GRANULES","PFIZER CANADA ULC","Colestid Orange","COLESTIPOL HYDROCHLORIDE",5G,"7.5 G x 30 pouches/sachets",ORAL,Discontinued,GRANULES,C10AC,"LIPID MODIFYING AGENTS, PLAIN",2020-04-01,2020-04-01,"Business reasons",2019-10-01,2020-04-13,No
270089,02244849,Discontinuation,"COLISTIMETHATE FOR INJECTION U.S.P.","STERIMAX INC","COLISTIMETHATE FOR INJECTION U.S.PS",COLISTIN,150MG,"1 VIAL","INTRAVENOUS; INTRAMUSCULAR; INTRAVENOUS; INTRAMUSCULAR",Discontinued,"POWDER FOR SOLUTION",J01XB,"OTHER ANTIBACTERIALS",2026-02-28,2026-02-28,"Business reasons",2025-10-23,2026-03-25,No
84465,02231675,Discontinuation,"COMBIVENT UDV","BOEHRINGER INGELHEIM (CANADA) LTD LTEE","Combivent UDV (0.5 mg/2.5mg)","IPRATROPIUM BROMIDE; SALBUTAMOL","0.2MG; 1.0MG",20s,INHALATION,Discontinued,SOLUTION,R03AL,"ADRENERGICS, INHALANTS",2020-01-08,2019-09-30,"Business reasons",2019-05-21,2020-01-15,No
238361,02239213,Discontinuation,COMBIVIR,"VIIV HEALTHCARE ULC","lamivudine and zidovudine tablets","ZIDOVUDINE; LAMIVUDINE","300MG; 150MG",1x60,"ORAL; ORAL",Discontinued,TABLET,J05AR,"DIRECT ACTING ANTIVIRALS",2024-12-31,,"Business reasons",2024-09-23,2025-03-19,No
155940,02243763,Discontinuation,COMTAN,"SANDOZ CANADA INCORPORATED",COMTAN,ENTACAPONE,200MG,"100FCT BO","ORAL; ORAL",Discontinued,TABLET,N04BX,"DOPAMINERGIC AGENTS",2022-03-03,,"Business reasons",2022-03-03,2022-03-04,No
142368,01945149,Discontinuation,CONDYLINE,"SANOFI-AVENTIS CANADA INC",Condyline,PODOPHYLLOTOXIN,0.5%,"3.5 mL bottle","TOPICAL; TOPICAL","To be discontinued",SOLUTION,D06BB,"CHEMOTHERAPEUTICS FOR TOPICAL USE",,2021-09-01,"Business reasons",2021-07-13,2021-07-13,No
48249,00223107,Discontinuation,"CONRAY 30","LIEBEL-FLARSHEIM CANADA INC","Iothalamate Meglumine Injection 30%","IOTHALAMATE MEGLUMINE",300MG,"100, 250 mL",INTRAVASCULAR,Discontinued,SOLUTION,V08AA,"X-RAY CONTRAST MEDIA, IODINATED",2018-03-14,,"Business reasons",2018-05-03,2018-05-03,No
48258,00477095,Discontinuation,"CONRAY 43","LIEBEL-FLARSHEIM CANADA INC","Iothalamate Meglumine Injection 43%","IOTHALAMATE MEGLUMINE",430MG,"50, 100 and 200 mL",INTRAVASCULAR,Discontinued,SOLUTION,V08AA,"X-RAY CONTRAST MEDIA, IODINATED",2018-04-05,,"Business reasons",2018-05-03,2018-05-03,No
76099,00131237,Discontinuation,"CONRAY 60","LIEBEL-FLARSHEIM CANADA INC","Iothalamate Meglumine Injection 60 %","IOTHALAMATE MEGLUMINE",600MG,"20, 30 and 200 mL Bottle",INTRAVASCULAR,Discontinued,SOLUTION,V08AA,"X-RAY CONTRAST MEDIA, IODINATED",2019-02-15,,"Business reasons",2019-02-18,2019-02-18,No
142328,02112736,Discontinuation,CORTENEMA,"APTALIS PHARMA CANADA ULC","Hydrocortisone suspension 100mg/60mL",HYDROCORTISONE,100MG,"60mL LDPE bottle","RECTAL; RECTAL",Discontinued,ENEMA,A07EA,"INTESTINALANTIINFLAMMATORY AGENTS",2021-11-15,2021-10-01,"Business reasons",2021-07-12,2021-12-03,No
108638,00579335,Discontinuation,CORTIFOAM,"PALADIN LABS INC","HYDROCORTISONE ACETATE",,,15g,,Discontinued,,,,2020-03-12,,"Manufacturing issues",2020-03-12,2020-03-13,No
258600,02099748,Discontinuation,"COUGH SYRUP WITH CODEINE","TEVA CANADA LIMITED","PHARMASAVE PSE W/CODEINE SYRUP 250ML","PSEUDOEPHEDRINE HYDROCHLORIDE; CODEINE PHOSPHATE; GUAIFENESIN","30MG; 3.3MG; 100MG","5ML, 250ML","ORAL; ORAL",Reversed,"SYRUP; SYRUP",R05FA,"COUGH SUPPRESSANTS AND EXPECTORANTS, COMBINATIONS",2016-11-01,,"Business reasons",2025-05-28,2025-06-03,No
112596,01918362,Discontinuation,"COUMADIN TAB 10MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",10MG,"1 BTL x 100","ORAL; ORAL",Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2020-06-01,2020-06-01,"Manufacturing issues",2020-04-20,2020-06-02,No
19592,01918311,Discontinuation,"COUMADIN TAB 1MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",1MG,"1 BTL x 250",ORAL,Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2018-01-31,2018-01-31,"Business reasons",2017-08-16,2018-03-16,No
112579,01918311,Discontinuation,"COUMADIN TAB 1MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",1MG,"1 BTL x 100","ORAL; ORAL",Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2020-08-31,2020-06-01,"Manufacturing issues",2020-04-20,2020-09-01,No
19573,01918346,Discontinuation,"COUMADIN TAB 2.5MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",2.5MG,"1 BTL x 250",ORAL,Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2018-06-29,2018-06-29,"Business reasons",2017-08-16,2018-09-21,No
112584,01918346,Discontinuation,"COUMADIN TAB 2.5MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",2.5MG,"1 BTL x 250","ORAL; ORAL",Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2020-08-31,2020-07-15,"Manufacturing issues",2020-04-20,2020-09-01,No
11852,01918338,Discontinuation,"COUMADIN TAB 2MG","BRISTOL-MYERS SQUIBB CANADA","Warfarin sodium","WARFARIN SODIUM",2MG,"1 BTL x 250's only",ORAL,Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2018-02-28,2018-01-31,"Business reasons",2017-06-05,2018-03-16,No
112609,01918338,Discontinuation,"COUMADIN TAB 2MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",2MG,"1 BTL x 100","ORAL; ORAL",Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2020-08-31,2020-06-15,"Manufacturing issues",2020-04-20,2020-09-01,No
22997,02240205,Discontinuation,"COUMADIN TAB 3MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",3MG,"1BTL x 250's",ORAL,Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2018-06-29,2018-06-29,"Business reasons",2017-09-21,2018-09-21,No
112805,02240205,Discontinuation,"COUMADIN TAB 3MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",3MG,"1 BTL x 100","ORAL; ORAL",Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2020-08-31,2020-08-01,"Manufacturing issues",2020-04-22,2020-09-01,No
28567,02007959,Discontinuation,"COUMADIN TAB 4MG","BRISTOL-MYERS SQUIBB CANADA",Warfarin,"WARFARIN SODIUM",4MG,"Bottles of 250's only",ORAL,Discontinued,TABLET,B01AA,"ANTITHROMBOTIC AGENTS",2018-06-29,2018-06-30,"Business reasons",2017-11-07,2018-07-27,No
